user_id,amount,timestamp,lat,long,merchant_category,device_id,is_fraud
52,301.0121430917521,2026-04-02 00:18:18,-24.11188011804692,-45.681097815310615,transport,dev_11,0
88,40.602818331379076,2026-04-01 18:02:05,-23.482618796448005,-45.835835180159265,jewelry,dev_12,0
38,0.07790692366582296,2026-04-02 01:50:16,-21.537621879653983,-44.461285032385405,food,dev_12,0
49,74.39661879833189,2026-04-01 18:43:55,-23.251043968085778,-46.16386711649477,electronics,dev_19,0
55,408.8216525459695,2026-04-02 00:15:13,-22.582988890336825,-45.16753814287885,food,dev_7,0
4,285.0796878935603,2026-04-01 06:31:23,-23.140218497357008,-46.033193400066544,electronics,dev_15,0
71,94.15999701070139,2026-04-02 00:51:15,-23.386472950564556,-47.15877024192508,electronics,dev_8,0
2,55.36563610069876,2026-04-01 18:14:57,-23.461465718174182,-45.93334272149138,electronics,dev_12,0
74,225.21519975341965,2026-04-01 02:34:28,-24.009085342865106,-47.58329421353689,electronics,dev_15,0
24,44.12269995298701,2026-04-01 13:36:24,-24.130552304681565,-45.86557111737198,transport,dev_13,0
71,55.06090617769176,2026-04-01 03:31:06,-22.36369489165483,-46.90672066857993,transport,dev_1,0
5,260.7764399984743,2026-04-02 02:45:54,-23.896335183129302,-46.11198782050694,transport,dev_5,0
44,101.488935892602,2026-04-01 14:43:12,-24.03782987651548,-46.07580374502818,electronics,dev_3,0
5,82.38874948858287,2026-04-01 06:30:19,-19.627703746373328,-46.92039080506738,transport,dev_10,0
77,22.529486665375444,2026-04-01 19:58:30,-20.366471779387876,-47.025090888810865,jewelry,dev_5,0
15,140.87491475385835,2026-04-01 17:47:24,-23.212161421711627,-46.42686879403972,electronics,dev_2,0
62,100.34941905205311,2026-04-01 05:00:47,-23.52976020376704,-45.486732566886644,electronics,dev_11,0
92,44.05191413413164,2026-04-01 15:16:56,-22.15007879593765,-47.31132422575111,food,dev_13,0
3,0.6976409181650647,2026-04-01 18:23:19,-24.415370742050413,-46.42064532276536,transport,dev_10,0
79,18.427270966282812,2026-04-01 10:55:53,-25.091599669687263,-44.736259469233616,electronics,dev_17,0
52,28.352547354208973,2026-04-01 07:25:36,-23.758327120518242,-45.54258435128086,jewelry,dev_17,0
2,69.85196328296385,2026-04-02 00:11:32,-22.522245900566475,-46.25902864473889,transport,dev_2,0
44,59.38144920353857,2026-04-01 07:02:22,-23.76262696421515,-45.831340612806706,jewelry,dev_17,0
38,45.8522799264304,2026-04-01 06:59:44,-22.41314290619973,-43.80954437419002,jewelry,dev_16,0
73,38.68102936673966,2026-04-01 20:01:22,-22.90034863491236,-46.5034756541162,transport,dev_4,0
90,71.76305845494883,2026-04-01 19:48:15,-24.062303713726106,-45.52640756936482,food,dev_8,0
39,276.0343817804307,2026-04-01 08:25:06,-23.783253292336237,-46.32206151620568,transport,dev_10,0
7,107.87627390439145,2026-04-01 05:48:52,-21.636113475582896,-43.46083728373067,electronics,dev_1,0
37,214.24779867144665,2026-04-01 01:14:59,-22.035189417671564,-47.06483115286301,jewelry,dev_3,0
24,51.83675378402638,2026-04-01 00:42:37,-22.346951688950238,-44.897312534537285,electronics,dev_3,0
89,807.3003154111825,2026-04-02 02:09:39,-21.134225488855243,-45.52616707908821,jewelry,dev_9,1
33,1.8240718598710015,2026-04-02 03:38:42,-23.462526860201752,-47.11249735432945,jewelry,dev_7,0
17,36.82571767211329,2026-04-01 22:11:49,-20.72665484198252,-45.85302534954278,electronics,dev_14,0
51,222.6055211248523,2026-04-01 01:33:20,-22.986998108122094,-44.546465922842685,jewelry,dev_15,0
69,26.160540119109772,2026-04-01 15:41:31,-21.52015122480145,-45.60322571872887,jewelry,dev_17,0
92,63.47735873325197,2026-04-01 00:05:01,-22.672776613634134,-45.493424698327466,food,dev_17,0
53,84.9315656167179,2026-04-01 23:41:54,-23.217456976904025,-46.475257348400476,jewelry,dev_1,0
18,81.37369920602278,2026-04-01 20:16:31,-22.36992506139899,-44.23706252769677,jewelry,dev_18,0
47,461.05697478463173,2026-04-01 21:41:09,-21.942576491137622,-45.94863914052036,food,dev_8,0
48,80.47940292211136,2026-04-02 00:41:31,-24.551433944090654,-46.5104932195776,jewelry,dev_13,0
7,69.61843775511993,2026-04-02 01:18:03,-21.669118672027913,-45.01179738949589,jewelry,dev_14,0
87,2.8005284605107366,2026-04-01 19:31:53,-21.110452343873416,-46.675804734221394,transport,dev_17,0
70,36.13508800703264,2026-04-01 13:32:27,-22.033607998027584,-46.51094446728696,jewelry,dev_12,0
5,61.113440541581475,2026-04-01 20:25:23,-23.37452155909047,-47.29121611313618,transport,dev_8,0
16,372.3557008699993,2026-04-01 07:50:51,-21.951980256005047,-46.62856974747571,transport,dev_19,0
58,158.8326108039286,2026-04-01 18:30:17,-22.495012721019542,-45.13424480582988,food,dev_1,1
1,58.402775199144706,2026-04-01 08:09:35,-22.816144485590442,-45.42210286490116,food,dev_7,0
63,57.21212287167011,2026-04-01 20:13:09,-22.913434185477445,-46.59288273246035,transport,dev_5,0
57,41.83674870461437,2026-04-02 02:30:35,-23.280654875340822,-46.60397591949775,electronics,dev_5,0
16,10.295691844781325,2026-04-01 07:24:06,-24.29494247447986,-46.105118504746414,electronics,dev_5,0
10,297.879121883808,2026-04-01 04:32:44,-22.998186388805323,-45.24406471820835,jewelry,dev_5,0
4,95.67252087544713,2026-04-01 03:18:58,-21.827564217607758,-45.46859998903967,jewelry,dev_18,0
33,61.29559740510913,2026-04-01 19:17:29,-23.151785095035585,-45.411682793515425,food,dev_8,0
43,21.789626094045,2026-04-02 00:37:48,-22.719008132264968,-46.62269951982059,food,dev_8,0
26,114.44897561243587,2026-04-01 07:14:52,-23.028421457599066,-47.71642444594397,electronics,dev_18,0
75,209.94158140869467,2026-04-01 05:14:48,-23.629700857265114,-45.123245350047675,electronics,dev_5,0
24,164.42091832434195,2026-04-01 12:26:51,-24.78767161193178,-47.220570104281855,transport,dev_5,0
55,138.97847164954612,2026-04-01 18:23:54,-21.69452119284567,-45.97899615836724,electronics,dev_13,0
19,916.0085183633984,2026-04-01 16:55:21,-23.271040462288543,-46.613094682908375,electronics,dev_19,1
16,59.50146636228576,2026-04-01 07:33:12,-21.795077078221425,-47.19666046921352,jewelry,dev_16,0
39,9.563694654031945,2026-04-01 10:35:02,-22.924195441806273,-46.67716171151211,food,dev_3,0
93,43.21916194678851,2026-04-01 21:24:12,-22.587068545724375,-46.563724552803976,jewelry,dev_17,0
7,55.52852595556702,2026-04-02 00:28:12,-22.113798033870623,-46.233703179314006,electronics,dev_5,0
37,26.556587831978145,2026-04-01 09:58:29,-22.710117188462874,-46.187224956348814,food,dev_4,0
31,65.71373629035648,2026-04-01 04:18:05,-24.01934146724007,-45.16804181342549,transport,dev_7,0
67,29.260372912327963,2026-04-01 11:55:18,-21.40984228098915,-45.52835804555193,jewelry,dev_9,0
1,114.26877797509722,2026-04-01 18:47:21,-23.54925818154107,-48.45919336207855,food,dev_1,0
44,381.22079312905305,2026-04-01 21:15:39,-23.26740063788338,-46.10384111743,food,dev_11,0
36,80.71096637333488,2026-04-01 14:37:18,-20.724238702432796,-45.59377331495007,electronics,dev_15,0
1,98.76741730080221,2026-04-01 02:35:37,-23.11093193562951,-45.023690873518895,jewelry,dev_8,0
92,104.08577439442072,2026-04-01 01:20:35,-23.756906090511595,-46.87507882286812,food,dev_9,0
64,555.232955517847,2026-04-01 09:32:29,-21.27225237256574,-47.49260136441569,jewelry,dev_13,1
35,172.89945113672712,2026-04-01 23:33:11,-22.258036983470536,-44.52334137457037,electronics,dev_10,0
30,1084.7081369447103,2026-04-01 17:18:12,-21.82055987927871,-46.4691756521047,jewelry,dev_15,1
26,47.947369975809615,2026-04-01 02:25:02,-22.724364842112593,-45.72127696502934,electronics,dev_9,0
1,1.3766286836276085,2026-04-01 22:24:02,-22.657543081992486,-44.088470393490574,food,dev_6,0
53,87.98371425384344,2026-04-01 10:46:05,-23.64427518016795,-44.64402961469181,food,dev_14,0
1,308.0223786441709,2026-04-01 10:03:07,-22.28838512191111,-47.12464209183787,jewelry,dev_2,0
95,12.053912139846927,2026-04-01 10:18:51,-21.448848024477478,-45.88432536570714,transport,dev_18,0
65,80.27541190214875,2026-04-01 04:14:14,-23.248964148479075,-45.02842904904564,jewelry,dev_15,0
79,153.5575481593188,2026-04-01 20:25:53,-22.796886452053492,-45.950427270700594,electronics,dev_2,0
30,80.92667198140062,2026-04-01 19:29:33,-22.639830997864486,-44.281400625986315,food,dev_15,0
51,119.61431081971851,2026-04-02 01:45:05,-21.7878435667749,-46.14404929827452,food,dev_5,0
6,67.84912926673597,2026-04-01 04:45:44,-24.304469500504855,-45.330327451169964,transport,dev_15,0
23,13.701842406700711,2026-04-01 11:27:20,-22.63340175390315,-46.93987978632735,jewelry,dev_4,0
67,207.3997227724456,2026-04-01 15:51:48,-22.923951960103615,-45.6470400244611,transport,dev_19,0
5,42.32462006515386,2026-04-01 04:41:47,-22.949157430863846,-46.48864008538808,food,dev_9,0
90,224.63679382387733,2026-04-01 01:27:20,-24.218489641286585,-47.16032502526931,electronics,dev_15,0
86,8.529543037633426,2026-04-01 14:00:28,-22.14864573539949,-46.62036372253555,food,dev_3,0
52,23.489903118153325,2026-04-01 12:17:27,-20.625858256599404,-46.31072426461719,transport,dev_14,0
2,1209.2310128396532,2026-04-01 10:43:58,-22.423443036944235,-45.688749845456464,electronics,dev_11,1
18,59.314324608355086,2026-04-01 00:17:42,-23.81050584697922,-46.90454188378707,food,dev_10,0
57,183.7028750019251,2026-04-01 02:06:01,-24.56050591438267,-45.79331053699892,food,dev_4,0
67,104.64644543348354,2026-04-01 21:35:35,-21.43718643379189,-45.44435976036647,transport,dev_8,0
83,47.60581222768413,2026-04-01 01:03:32,-22.77400272590597,-45.160252562102286,transport,dev_13,0
33,0.7562889825287813,2026-04-01 21:08:45,-23.206238958955865,-48.27795041781056,electronics,dev_11,0
95,5.726211382987472,2026-04-02 00:24:46,-22.82603367083043,-45.09212805275757,transport,dev_4,0
6,369.1569587084852,2026-04-01 03:02:34,-22.18414837951091,-45.43324407308118,electronics,dev_15,0
8,64.74465156516241,2026-04-01 18:46:24,-23.909692950148454,-45.36137635016236,jewelry,dev_17,0
